ncesId,stateSchoolId
480870009032,TX-220901-220901157
480870006506,TX-220901-220901107
480870000253,TX-220901-220901003
480870007722,TX-220901-220901151
480870002049,TX-220901-220901146
480870005643,TX-220901-220901005
480870013241,TX-220901-220901165
480870005644,TX-220901-220901135
480870021052,TX-220901-220901144
480870000255,TX-220901-220901131
480870007110,TX-220901-220901008
480870000256,TX-220901-220901053
480870007721,TX-220901-220901055
480870013242,TX-220901-220901162
480870013249,TX-220901-220901164
480870008909,TX-220901-220901154
480870000257,TX-220901-220901120
480870000258,TX-220901-220901109
480870009034,TX-220901-220901159
480870000259,TX-220901-220901110
480870000249,TX-220901-220901002
480870009374,TX-220901-220901009
480870000261,TX-220901-220901048
480870005390,TX-220901-220901134
480870000262,TX-220901-220901123
480870000263,TX-220901-220901111
480870000264,TX-220901-220901112
480870006353,TX-220901-220901140
480870000265,TX-220901-220901113
480870008024,TX-220901-220901010
480870000266,TX-220901-220901114
480870005792,TX-220901-220901007
480870007066,TX-220901-220901006
480870005364,TX-220901-220901148
480870007723,TX-220901-220901152
480870002041,TX-220901-220901145
480870000268,TX-220901-220901116
480870013852,TX-220901-220901166
480870005391,TX-220901-220901133
480870005846,TX-220901-220901050
480870005392,TX-220901-220901049
480873000269,TX-212901-212901101
480873000270,TX-212901-212901001
480873006068,TX-212901-212901041
480141613152,TX-021805-021805105
480141612757,TX-021805-021805102
480141612563,TX-021805-021805101
480141612753,TX-021805-021805041
480000600274,TX-217901-217901101
480000600275,TX-217901-217901001
480887000277,TX-107901-107901001
480887000278,TX-107901-107901041
480887000279,TX-107901-107901104
480887000282,TX-107901-107901103
480887000281,TX-107901-107901102
480888000283,TX-034901-034901106
480888000284,TX-034901-034901001
480888000285,TX-034901-034901042
480888000286,TX-034901-034901107
480888008469,TX-034901-034901002
480891000288,TX-061907-061907001
480891007267,TX-061907-061907041
480891010621,TX-061907-061907002
480891000287,TX-061907-061907101
480891012259,TX-061907-061907102
480143112775,TX-227825-227825001
480143113800,TX-227825-227825003
480026511056,TX-227821-227821101
480894008937,TX-227901-227901017
480894000291,TX-227901-227901101
480894009076,TX-227901-227901012
480894000292,TX-227901-227901009
480894000293,TX-227901-227901102
480894000294,TX-227901-227901002
480894013344,TX-227901-227901194
480894005646,TX-227901-227901250
480894005486,TX-227901-227901059
480894011064,TX-227901-227901187
480894008393,TX-227901-227901182
480894000296,TX-227901-227901149
480894000297,TX-227901-227901103
480894000298,TX-227901-227901104
480894000299,TX-227901-227901054
480894000300,TX-227901-227901105
480894000301,TX-227901-227901106
480894011062,TX-227901-227901185
480894006210,TX-227901-227901170
480894006508,TX-227901-227901013
480894000302,TX-227901-227901107
480894000303,TX-227901-227901108
480894000304,TX-227901-227901109
480894000305,TX-227901-227901110
480894000306,TX-227901-227901046
480894000307,TX-227901-227901111
480894008391,TX-227901-227901173
480894000308,TX-227901-227901112
480894011061,TX-227901-227901184
480894000309,TX-227901-227901161
480894006208,TX-227901-227901057
480894008940,TX-227901-227901183
480894000310,TX-227901-227901008
480894000311,TX-227901-227901113
480894006356,TX-227901-227901115
480894022775,TX-227901-227901179
480894000312,TX-227901-227901114
480894013004,TX-227901-227901249
480894000313,TX-227901-227901055
480894012846,TX-227901-227901192
480894000314,TX-227901-227901154
480894012013,TX-227901-227901019
